鑫德嘉园、教育部分房，精装修，带固定车位,"二环至三环,鑫德嘉园,魏公村",3室1厅2卫,115.29,1288,111718
鑫德嘉园、教育部分房，精装修，带固定车位,"二环至三环,鑫德嘉园,魏公村",2室2厅1卫,111.13,1033,92954
鑫德嘉园、朝西向两居室、中间层、采光好,"二环至三环,地质力学研究所,魏公村",2室1厅1卫,79.9,880,110138
鑫德嘉园、朝西向两居室、中间层、采光好,"二环至三环,中央民族大学家属楼,魏公村",3室1厅1卫,68.51,786,114728
魏公村地质力学研究所2室1厅,"二环至三环,中央民族大学家属楼,魏公村",1室1厅1卫,47.34,520,109844
